sample_id,sample_location,location_group,lat,lon,dist_coast_km,precip_racmo,temp_racmo,ph_mq,ec_uScm,wtpct_c,wtpct_n,cn_ratio,d15n_permil,d13c_vpdb_permil,cl_mgL,na_mgL,so4_mgL,ca_mgL,no3_mgL,po4_mgL
NP3-4,Shackleton Glacier,Shackleton Glacier,-84.53441666666667,-175.4166,2.401262,139.8670349,-21.73006248474121,7.715,170.6,0.211,0.03,7.057,-10.483,-29.7,5.0,19.095,50.0,44.18,0.5,0.5
NP4-5,Shackleton Glacier,Shackleton Glacier,-84.53315,-175.3152333,3.059147,139.8670349,-21.73006248474121,8.889,57.5,0.021,0.004,5.639,-6.91,-25.158,5.0,7.087000000000001,50.0,19.345,0.5,0.5
ON-10,Onyx River,Lower Wright Valley,-77.46795,162.42593,27.76986,38.96728134,-30.228124618530273,9.0,181.4,0.029,0.006,4.611,-13.244,-18.41,126.71,52.965,50.0,23.959000000000003,0.5,0.5
OR-1,Onyx River,Lower Wright Valley,-77.52593,161.70227,42.98865,37.00067139,-31.25746726989746,9.132,145.3,,,,,,170.68,37.04,50.0,57.7,0.5,0.5
OR-4,Onyx River,Lower Wright Valley,-77.5246,161.8972,38.4112,37.00067139,-31.25746726989746,8.104,5467.4,0.032,0.018,1.771,-13.578,-14.529,1940.75,793.835,6129.33,2856.547,105.81,0.5
OR-8,Onyx River,Lower Wright Valley,-77.51402,162.13828,32.9274,37.00067139,-31.25746726989746,8.76,568.8,0.043,0.007,5.679,-14.183,-12.781,279.78,128.205,50.0,85.538,4.73,0.5
OR-9,Onyx River,Lower Wright Valley,-77.4921,162.31103,29.47026,38.96728134,-30.228124618530273,8.919,85.7,0.046,0.012,3.878,-9.008,-16.998,60.58,21.982,50.0,30.380000000000003,0.5,0.5
RM1-1,Shackleton Glacier,Shackleton Glacier,-85.4909,-177.17716666666666,104.2012,49.30804062,-36.993385314941406,6.172,9627.0,0.017,0.009,1.833,-2.442,-30.312,41.91,2566.954,9197.64,3702.1270000000004,0.5,0.5
RM1-8,Shackleton Glacier,Shackleton Glacier,-85.48678333333334,-177.09936666666667,103.6697,49.30804062,-36.993385314941406,7.538,674.5,0.011,0.008,1.395,0.465,-39.116,120.66,193.71099999999998,50.0,5.896999999999999,348.73,0.5
RM2-1,Shackleton Glacier,Shackleton Glacier,-85.48788333333333,-177.1844,103.8843,49.30804062,-36.993385314941406,8.389,4176.3,0.018,0.047,0.372,-5.243,-20.244,5.0,19240.0,50.0,2780.0,0.5,0.5
